Month,BB,SUN,JASMY,KNC,RUNE,PHA,POND,STRAX,AAVE,ICP,OGN,BURGER,PHB,WAXP,BNX,PIXEL,STRK,GFT,LISTA,WOO,TWT,UNI,GTC,ETC,LRC,IOST,FIDA,ADX,ASTR,FLOW,BNB,ANKR,FUN,DIA,RPL,NOT,ALGO,ALT,SFP,FDUSD,PEPE,SYS,BETA,AI,KDA,DENT,ACM,ARB,USTC,TRX,MEME,BIFI,LQTY,TON,ENS,SNX,UTK,XRP,ARDR,MLN,TROY,TNSR,LEVER,GHST,C98,MANA,ROSE,AST,AMP,AUCTION,TLM,ARPA,CHR,BEL,ACA,STX,VIB,LINA,OP,ATOM,CELO,MAGIC,QTUM,MOVR,IQ,FXS,DAR,FARM,FLUX,XTZ,NKN,SAND,PIVX,NFP,POLYX,ALPACA,UNFI,ATA,BTTC,RDNT,AR,PAXG,PORTO,PYR,CLV,TFUEL,RVN,DF,LAZIO,ALICE,SLF,STG,ACH,KEY,AMB,HIGH,BLZ,CTSI,ELF,HIFI,ONE,BAR,DCR,WBETH,PROS,EURI,UFT,DODO,GLM,ENJ,TAO,GAS,HIVE,LUNC,BONK,RENDER,WRX,DATA,GMX,IOTA,W,BAKE,LTC,JUP,API3,RAD,JTO,YFI,QKC,BADGER,BOME,BAL,ETH,PDA,NTRN,COMP,RSR,CHESS,SXP,WING,HARD,TRU,BSW,AUDIO,SAGA,IDEX,CTK,RONIN,CELR,AXL,OMNI,REZ,OM,OXT,FLM,ALPINE,OOKI,QI,TRB,ZK,FTM,NEXO,BAND,JST,FET,REI,APT,OSMO,GALA,SHIB,RIF,DEGO,XVG,FIL,SUSHI,WAN,STORJ,BLUR,PERP,ZRX,COMBO,ETHFI,BICO,AKRO,ZIL,ID,RARE,THETA,1000SATS,STEEM,CKB,FIO,LTO,XEC,POWR,REN,FTT,CYBER,AGLD,EOS,BTC,RAY,VTHO,STPT,ONT,ADA,LOKA,CITY,ERN,METIS,REQ,DEXE,XAI,USDC,SANTOS,HBAR,AEUR,TUSD,ZRO,PROM,WBTC,MDT,HOT,PYTH,EUR,IO,AEVO,T,IOTX,PEOPLE,QNT,XLM,SLP,JUV,AVA,LUNA,ZEN,MKR,SSV,DUSK,ALPHA,XVS,VOXEL,MANTA,MTL,VITE,CVC,SNT,AVAX,DYDX,ASR,BEAMX,COS,VET,YGG,NULS,OAX,TKO,MINA,VIDT,FLOKI,SOL,BCH,SYN,ORN,EDU,FIS,MBL,USDP,BNT,ACE,SEI,SUPER,SPELL,WIF,MASK,GNS,SKL,SC,DOT,WIN,DOGE,APE,OG,MBOX,G,DOGS,HOOK,FIRO,LSK,LIT,RLC,BAT,PUNDIX,SUI,AERGO,ARKM,NMR,PSG,LPT,1INCH,STMX,GNO,CAKE,PENDLE,KAVA,KSM,DYM,GLMR,CHZ,ICX,IRIS,NEAR,VANRY,DASH,JOE,INJ,CTXC,MAV,KP3R,ILV,SCRT,ENA,ALCX,PORTAL,VIC,CREAM,ZEC,ARK,GRT,CRV,XNO,ONG,NEO,KMD,COTI,WLD,GMT,BANANA,TIA,AXS,UMA,DGB,LINK,KLAY,CVX,ATM,MATIC,CFX,LDO,IMX,ORDI,HFT,FORTH,QUICK,EGLD
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,4.8074,,0.007177,,,,,19.9099,0.002221,0.003122,,,,0.221,,,,,,,,,0.0002441,,,,0.01974,,,,,,,,0.29452,,,,,,,,,,,,,,,,,,0.1921,,,,3.263,,,2.144,,,,,,,0.8832,0.02608,,,,,,,,,,,,,,,0.00339,0.02908,,,,,,,0.001394,,,,,,,0.0052,,,,,,,,,0.06406,,,,,,,,,,0.2719,,,58.29,,,,,,,,,,182.18,,,,,,,,,,,,,,,,0.00414,,,,,,,,,,,,0.01206,,0.3154,,0.03776,,,,,,,,,,,0.2316,,,,0.2716,,,,,0.00561,,,0.09297,,,,,,,,0.04982,,,,3.2531,9140.85,,,,0.8551,0.04126,,,,,,,,0.9988,,0.0332,,0.9988,,,,,0.0009119,,,,,,,,,0.06512,,,,,,,,0.0562,,,,,0.3658,,0.04189,,,,,,0.01539,0.004097,,0.4161,,,,,,,,,,,,,,,,,,,,,,,,,0.0001974,0.0025844,,,,,,,,,,,0.232,,,,,,,,,,,,,0.7999,,,,0.010725,0.1618,,,,71.47,,,,,,,,,,,,,37.53,,,,,0.1579,10.536,,,,,,,,,,2.7219,,,,0.0136,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,3.9409,,0.005249,,,,,15.7118,0.001911,0.002954,,,,0.2648,,,,,,,,,0.0001708,,,,0.01548,,,,,,,,0.2255,,,,,,,,,,,,,,0.01127,,,,0.1102,,,,3.921,,,1.79,,,,,,,1.3336,0.02202,,,,,,,,,,,,,,,0.002874,0.02261,,,,,,,0.002113,,,,,,,0.00595,,,,,,,,,0.06027,,,,,,,,,,0.2096,,,47.21,,,,,,,,,,151.37,,,,,,,,,,,,,,,,0.00506,,,,,,,,,,,,0.01261,,0.2908,,0.06061,,,,,,,,,,,0.2079,,,,0.2576,,,,,0.0053,,,0.07015,,,,,,,,0.0407,,,,2.7479,7541.89,,,,0.6368,0.04032,,,,,,,,0.9995,,0.02488,,0.9995,,,,,0.000788,,,,,,0.004342,,,0.05726,,,,,,,,0.0448,,,,,0.3017,,0.0281,,,,,,0.0123,0.006085,,0.308,,,,,,,217.45,,,,,,,,,,,,,,,,,,0.0001062,0.0022918,,,,,,,,,,0.6828,0.2036,,,,,,,,,,,,,1.0787,,,,0.011414,0.1366,,,,54.99,,,0.0975,,,,,,,,,,29.01,,,,,0.1142,9.316,,,,,,,,,,2.2373,,,,0.0289,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,4.4945,,0.004676,,,,,13.7161,0.001442,0.003168,,,,0.2168,,,,,,,,,0.0001587,,,,0.0133,,,,,,,,0.19295,,,0.0066938,,,,,,,,,,,0.01029,,,,0.0955,,,,4.227,,,1.612,,,,,,,1.3533,0.01733,,,,,,,,,,,,,,,0.002369,0.02295,,,,,,,0.00169,,,,,,,0.00457,,,,,,,,,0.08043,,,,,,,,,,0.1596,,,41.3,,,,,,,,,,129.16,,,,,,,,,,,,,,,,0.00355,,,,,,,,,,,,0.01086,,0.2225,,0.0371,,,,,,,,,,,0.1718,,,,0.1815,,,,,0.00447,,,0.08684,,,,,,,,0.03099,2.144,,,2.5833,7195.23,,,,0.5185,0.03285,,,,,,,,1.0036,,0.01024,,1.0035,,,,,0.0006257,,,,,,0.00334,,,0.04495,,,,,,,,0.0434,,,,,0.2295,0.01087,0.01826,,,,,,0.00928,0.005242,,0.2221,,,,,,,204.52,,,,,,,,,,,,,,,,,,9.23e-05,0.0020135,,,,,,,,,,0.4081,0.1803,,,,,,,,,,,,,1.1185,,,,0.007043,0.1139,,,,41.16,,,0.0617,,,,,,,,,,27.54,,,,,0.0951,8.678,,,,,,,,,,1.7673,,,,0.01379,,,,,,,,
2020-01-01,,,,,,,,,,,0.1117,,,,,,,,,,,,,11.338,,0.005674,,,,,18.2644,0.001317,0.002898,,,,0.2474,,,,,,,,,0.0001695,,,,0.01867,,,,,,,,0.23946,,,0.0047225,,,,,,,,,,,0.01147,,,,0.095,,,,4.397,,,2.125,,,,,,,1.6564,0.01971,,,,,,,,,,,,,,,0.002482,0.02746,,,,,,,0.001499,,,,,,,0.00519,,,,,,,,,0.09531,,,,,,,,,,0.2942,,,68.0,,,,,,,,,,179.99,,,,,,,,,,,,,,,,0.00327,,,,,,,,,,,,0.00925,,0.2562,,0.0389,,,,,,,,,,,0.2262,,,,0.2284,,,,,0.00593,,,0.10638,,,,,,,,0.04477,2.367,,,4.1444,9352.89,,,,0.7705,0.0539,,,,,,,,1.0016,,0.01311,,1.0017,,,,,0.0006329,,1.1097,,,,0.004126,,,0.0606,,,,,,,,0.0364,,,,,0.2407,0.01264,0.02555,,,,,,0.00758,0.005766,,0.2815,,,,,,,374.86,,,,,,,,,,,,,,,,,,0.0001097,0.0023776,,,,,,,,,,0.6684,0.2195,,,,,,,,,,,,,1.0565,,,,0.007204,0.2589,,,,115.85,,,0.0828,,,,,,,,,,66.51,,,,,0.1429,11.453,,,,,,,,,,2.8259,,,,0.01795,,,,,,,,
2020-02-01,,,,,,,,,,,0.3159,,,,,,,,,,,,,7.354,,0.005115,,,,,19.23,0.002155,0.003041,,,,0.3236,,,,,,,,,0.0001585,,,,0.01648,,,,,,,,0.22892,,,0.0039057,,,,,,,,,,,0.00956,,,,0.1218,,,,3.443,,,2.025,,,,,,,2.7329,0.01814,,,,,,,,,,,,,,,0.002709,0.02562,,,,,,,0.001594,,,,,,,0.00448,,,,,,,,,0.09593,,,,,,,0.06025,,,0.2122,,,58.05,,,,,,,,,,217.21,,,,,,,,,,,,,,,,0.00329,,,,,,,,,,,,0.00659,,0.3215,,0.03215,,,,,,,,,,,0.2138,,,,0.2288,,,,,0.00589,,,0.11712,,,,,0.04213,,,0.05153,2.576,,,3.5105,8523.61,,,,0.6661,0.0471,,,,,,,,0.9999,,0.0341,,1.0004,,,,,0.0006189,,1.0999,,,,0.004034,,,0.05694,,,,,,,,0.0345,,,,,0.2881,0.01448,0.0233,,,,,,0.00843,0.005615,,0.2395,,,,,,,306.11,,,,,0.002121,,0.265,,,,,,,,,,,9.37e-05,0.0022153,,,,,,,,1.276,,0.5251,0.2108,,,,,,,,,,,,,0.8121,,,,0.01044,0.2937,,,,85.35,,,0.0736,,,,,,,,,,48.96,,,,,0.1254,11.103,,0.01884,,,,,,,,4.0579,,,,0.02015,,,,,,,,
2020-03-01,,,,,,,,,,,0.2035,,,,,,,,,,,,,4.9341,,0.003034,,,,,12.5451,0.001465,0.001666,,,,0.154,,,,,,,,,0.0001094,,,,0.01157,,,,,,,,0.17353,,,0.0018796,,,,,,,,,,,0.00634,,,,0.0872,,,,1.95,,,1.21,,,,,,,1.607,0.01504,,,,,,,,,,,,,,,0.001734,0.01516,,,,,,,0.000973,,,,,,,0.00215,,,,,,,,,0.09304,,,,,,,0.09675,,,0.1434,,,39.08,,,,,,,,,,132.72,,,,,,,,,,,,,,,,0.00157,,,,,,,,,,,,0.00306,,0.2897,,0.01404,,,,,,,,,,,0.1244,,,,0.1529,,,,,0.00382,,,0.07421,,,,,0.03191,,,0.0468,2.402,,,2.2086,6410.44,,,0.01498,0.3702,0.03045,,,,,,,,0.9978,,0.03183,,0.9975,,,,,0.0003378,,1.0824,,,,0.002149,,,0.04071,,,,,,,,0.0181,,,,,0.2985,0.00899,0.0188,,,,,,0.00488,0.003108,,0.2009,,,,,,,218.36,,,,,0.001392,,0.1725,,,,,,,,,,,8.52e-05,0.0018041,,,,,,,,0.9631,,0.3033,0.1416,,,,,,,,,,,,,0.4864,,,,0.006321,0.2118,,,,64.97,,,0.0785,,,,,,,,,,30.9,,,,,0.0835,6.772,,0.01667,,,,,,,,2.2658,,,,0.01097,,,,,,,,
2020-04-01,,,,,,,,,,,0.2229,,,,,,,,,,,,,6.4418,,0.00366,,,,,16.9542,0.001524,0.001956,,,,0.2093,,,,,,,,,0.0001223,,,,0.01519,,,,,,,,0.21135,,,0.0023754,,,,,,,,,,,0.01021,,,,0.1031,,,,2.734,,,1.536,,,,,,,2.7526,0.01567,,,,,,,,,,,,,,,0.00194,0.01901,,,,,,,0.000715,,,,0.0396,,,0.00253,,,,,,,,,0.13668,,,0.4186,,,,0.14102,0.08069,,0.1765,,,46.33,,,,,,,,,,206.08,,,,,,,,,,,,,,,,0.00192,,,,,,,,,,,,0.00455,,1.0316,,0.01997,,,,,,,,,,,0.1615,,,,0.1982,,,,,0.00553,,,0.12033,,,,,0.04525,,,0.06728,3.093,,,2.822,8620.0,,,0.01141,0.4886,0.04752,,,,,,,,0.9994,,0.03529,,0.9992,,,,,0.000351,,1.086,,,,0.002562,,,0.06756,,,,,,,,0.0209,,,,,0.3056,0.01148,0.02054,,,,,,0.0055,0.004353,,0.2199,,,,,,,250.05,,,,,0.001276,,0.2047,,,,,,,,,,,8.62e-05,0.002433,,,,,,,,1.2095,,0.3379,0.1836,,,,,,,,,,,,,0.5799,,,,0.00719,0.2786,,,,80.74,,,0.0894,,,,,,,,,,44.76,,,,,0.0918,8.897,,0.0222,,,,,,,,3.7025,,,,0.01543,,,,,,,,
2020-05-01,,,,,,,,,,,0.1931,,,,,,,,,,,,,6.9388,,0.00471,,,,,17.0916,0.002204,0.003044,,,,0.2332,,,,,,,,,0.0001929,,,,0.01582,,,,,,,,0.20245,0.04648,,0.0033213,,,,,,,,,,,0.01089,0.02154,,,0.1336,,,,2.728,,,1.747,,,,,,,2.806,0.01803,,,,,,,,,,,,,,,0.008509,0.01963,,,,,,,0.000993,,,,0.03198,,,0.00366,,,,,,,,,0.20685,,,0.2352,,,,0.13096,0.05849,,0.2197,,,45.61,,,,,,,,,,231.57,,,,,,,,,,,,,,,,0.0028,,,,,,,,,,,,0.00556,,1.5111,,0.02233,,,,,,,,,,,0.1828,,,,0.3164,,,,,0.01475,,,0.24692,,,,,0.03964,,,0.09099,2.947,,,2.6731,9448.27,,,0.0118,0.5483,0.0739,,,,,,,,1.0007,,0.04384,,1.0007,,,,,0.000627,,1.1097,,,,0.004875,,,0.0705,,,,,,,,0.0267,,,,,0.3147,0.01335,0.02505,,,,,,0.00787,0.006247,,0.3116,,,,,,,238.69,,,,,0.001668,,0.6136,,,,,,,,,,,8.44e-05,0.0025599,,,,,,,,1.2,,0.3744,0.2113,,,,,,,,,,,,,0.8443,,,,0.010732,0.3272,,,,76.33,,,0.1011,,,,,,,,,,51.51,,,,,0.1165,10.945,,0.02026,,,,,,,,4.131,,,,0.02048,,,,,,,,
2020-06-01,,,,1.21,,,,,,,0.2651,,,,,,,,,,,,,5.7284,0.07452,0.005518,,,,,15.3838,0.003411,0.003563,,,,0.2082,,,,,,,,,0.0001945,,,,0.01636,,,,,,,,0.17533,0.04764,,0.0034952,,,,,,,,,,,0.01381,0.03324,,,0.1325,,,,2.595,,,1.643,,,,,,,2.3576,0.02179,,,,,,,,,,,,,,,0.00816,0.0189,,,,,,,0.001131,,,,0.03558,,,0.00446,,,,,,,,,0.16731,,,0.2174,,,,0.12689,0.046,,0.2266,,,41.17,,,,,,,,,,225.6,,,216.66,,,,,,,,,,,,,0.00353,,,,,,,,,,,,0.0061,,1.0959,,0.02772,,,,,,,,,,,0.1963,,,,0.3352,,,,,0.0174,,,0.22173,,,,,0.05377,,,0.14654,2.891,,,2.368,9138.55,,,0.01382,0.5743,0.08299,,,,,,,,1.0001,,0.03845,,1.0003,,,,0.00886,0.0005276,,1.1166,,,,0.004856,,,0.06692,,,,,,,,0.0301,,,,,0.3125,0.01447,0.02693,,,,,,0.00804,0.008837,,0.5207,,,,,,,222.12,,,,,0.001844,,1.0542,,,,,,,,,,,7.12e-05,0.0023185,,,,,,,,1.1414,,0.6171,0.2514,,,,,,,,,0.001963,,,,1.2551,,,,0.011707,0.2899,,,,68.11,,,0.1071,,,,,,,,,,51.44,,,,,0.242,10.034,,0.02456,,,,,,,,4.5626,,,,0.01895,,,,,,,,
2020-07-01,,,,1.467,,,,,,,0.31,,,,,,,,,,,,,7.3976,0.10247,0.005862,,,,,20.6615,0.005852,0.004537,,,,0.3271,,,,,,,,,0.0002289,,,,0.01968,,,,,,3.952,,0.25939,0.05669,,0.0060706,,,,,,,,,,,0.02312,0.0607,,,0.173,,,,3.793,,,2.42,,,,,,,2.8401,0.02199,,,,,,,,,,,,,,,0.008312,0.02061,,,,,,,0.001406,,,,0.05282,,,0.00869,,15.298,,,,,,,0.17419,,,0.2235,,,,0.12241,0.0496,,0.2993,,,58.13,,,,,,,,,,346.33,,,134.63,,,1.759,,,,,,,,,,0.00675,,,,,,,,,,,,0.01326,,4.2225,,0.07437,,,,,,,,,,,0.2621,0.1859,,,0.3808,,,,,0.01799,,,0.26938,,,,,0.06723,,,0.15798,3.417,,,3.0932,11335.46,,0.00171,0.01671,0.7147,0.13878,,,,,,,,0.9984,,0.04455,,0.9985,,,,0.01156,0.0007611,,1.1832,,,,0.007049,,,0.0969,,,,,8.099,555.17,,0.0599,,,,,0.3265,0.02363,0.0296,,,,,,0.00831,0.017204,,0.4373,,,,,,,300.5,,,,,0.002538,,1.6585,,,,,,,,,0.003032,,7.98e-05,0.003224,,,,,,,,1.2689,,1.1814,0.2525,,,,,,,,,0.002947,,,,2.4403,,,,0.014046,0.3738,,,,82.45,,,0.1142,,,,,,,,,,74.9,,,,,0.1744,12.245,,0.04198,,,,,,,0.0244,7.8033,,,,0.02025,,,,,,,,
