Symbol,Security,Sector,Sub-Industry,Date first added
BTC,BTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETH,ETHUSDT,Cryptocurrency,Digital Asset,2024-09-01
XRP,XRPUSDT,Cryptocurrency,Digital Asset,2024-09-01
EOS,EOSUSDT,Cryptocurrency,Digital Asset,2024-09-01
DOT,DOTUSDT,Cryptocurrency,Digital Asset,2024-09-01
XLM,XLMUSDT,Cryptocurrency,Digital Asset,2024-09-01
LTC,LTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
DOGE,DOGEUSDT,Cryptocurrency,Digital Asset,2024-09-01
CHZ,CHZUSDT,Cryptocurrency,Digital Asset,2024-09-01
AXS,AXSUSDT,Cryptocurrency,Digital Asset,2024-09-01
MANA,MANAUSDT,Cryptocurrency,Digital Asset,2024-09-01
DYDX,DYDXUSDT,Cryptocurrency,Digital Asset,2024-09-01
MKR,MKRUSDT,Cryptocurrency,Digital Asset,2024-09-01
COMP,COMPUSDT,Cryptocurrency,Digital Asset,2024-09-01
AAVE,AAVEUSDT,Cryptocurrency,Digital Asset,2024-09-01
YFI,YFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
LINK,LINKUSDT,Cryptocurrency,Digital Asset,2024-09-01
SUSHI,SUSHIUSDT,Cryptocurrency,Digital Asset,2024-09-01
UNI,UNIUSDT,Cryptocurrency,Digital Asset,2024-09-01
KSM,KSMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ICP,ICPUSDT,Cryptocurrency,Digital Asset,2024-09-01
ADA,ADAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETC,ETCUSDT,Cryptocurrency,Digital Asset,2024-09-01
KLAY,KLAYUSDT,Cryptocurrency,Digital Asset,2024-09-01
XTZ,XTZUSDT,Cryptocurrency,Digital Asset,2024-09-01
BCH,BCHUSDT,Cryptocurrency,Digital Asset,2024-09-01
SRM,SRMUSDT,Cryptocurrency,Digital Asset,2022-11-01
QNT,QNTUSDT,Cryptocurrency,Digital Asset,2024-09-01
USDC,USDCUSDT,Cryptocurrency,Digital Asset,2024-09-01
GRT,GRTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SOL,SOLUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIL,FILUSDT,Cryptocurrency,Digital Asset,2024-09-01
OMG,OMGUSDT,Cryptocurrency,Digital Asset,2024-06-01
BAT,BATUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZRX,ZRXUSDT,Cryptocurrency,Digital Asset,2024-09-01
CRV,CRVUSDT,Cryptocurrency,Digital Asset,2024-09-01
AGLD,AGLDUSDT,Cryptocurrency,Digital Asset,2024-09-01
ANKR,ANKRUSDT,Cryptocurrency,Digital Asset,2024-09-01
PERP,PERPUSDT,Cryptocurrency,Digital Asset,2024-09-01
MATIC,MATICUSDT,Cryptocurrency,Digital Asset,2024-09-01
WAVES,WAVESUSDT,Cryptocurrency,Digital Asset,2024-06-01
LUNC,LUNCUSDT,Cryptocurrency,Digital Asset,2024-09-01
SPELL,SPELLUSDT,Cryptocurrency,Digital Asset,2024-09-01
SHIB,SHIBUSDT,Cryptocurrency,Digital Asset,2024-09-01
FTM,FTMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ATOM,ATOMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALGO,ALGOUSDT,Cryptocurrency,Digital Asset,2024-09-01
ENJ,ENJUSDT,Cryptocurrency,Digital Asset,2024-09-01
CBX,CBXUSDT,Cryptocurrency,Digital Asset,2024-09-01
SAND,SANDUSDT,Cryptocurrency,Digital Asset,2024-09-01
AVAX,AVAXUSDT,Cryptocurrency,Digital Asset,2024-09-01
WOO,WOOUSDT,Cryptocurrency,Digital Asset,2024-09-01
FTT,FTTUSDT,Cryptocurrency,Digital Asset,2024-09-01
GODS,GODSUSDT,Cryptocurrency,Digital Asset,2024-09-01
IMX,IMXUSDT,Cryptocurrency,Digital Asset,2024-09-01
ENS,ENSUSDT,Cryptocurrency,Digital Asset,2024-09-01
CAKE,CAKEUSDT,Cryptocurrency,Digital Asset,2024-09-01
