Symbol,Security,Sector,Sub-Industry,Date first added
BTC,BTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETH,ETHUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNB,BNBUSDT,Cryptocurrency,Digital Asset,2024-09-01
BCC,BCCUSDT,Cryptocurrency,Digital Asset,2018-11-01
NEO,NEOUSDT,Cryptocurrency,Digital Asset,2024-09-01
LTC,LTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
QTUM,QTUMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ADA,ADAUSDT,Cryptocurrency,Digital Asset,2024-09-01
XRP,XRPUSDT,Cryptocurrency,Digital Asset,2024-09-01
EOS,EOSUSDT,Cryptocurrency,Digital Asset,2024-09-01
TUSD,TUSDUSDT,Cryptocurrency,Digital Asset,2024-09-01
IOTA,IOTAUSDT,Cryptocurrency,Digital Asset,2024-09-01
XLM,XLMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ONT,ONTUSDT,Cryptocurrency,Digital Asset,2024-09-01
TRX,TRXUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETC,ETCUSDT,Cryptocurrency,Digital Asset,2024-09-01
ICX,ICXUSDT,Cryptocurrency,Digital Asset,2024-09-01
VEN,VENUSDT,Cryptocurrency,Digital Asset,2018-10-01
NULS,NULSUSDT,Cryptocurrency,Digital Asset,2024-09-01
VET,VETUSDT,Cryptocurrency,Digital Asset,2024-09-01
PAX,PAXUSDT,Cryptocurrency,Digital Asset,2021-09-01
BCHABC,BCHABCUSDT,Cryptocurrency,Digital Asset,2019-11-01
BCHSV,BCHSVUSDT,Cryptocurrency,Digital Asset,2019-04-01
USDC,USDCUSDT,Cryptocurrency,Digital Asset,2024-09-01
LINK,LINKUSDT,Cryptocurrency,Digital Asset,2024-09-01
WAVES,WAVESUSDT,Cryptocurrency,Digital Asset,2024-06-01
BTT,BTTUSDT,Cryptocurrency,Digital Asset,2022-01-01
USDS,USDSUSDT,Cryptocurrency,Digital Asset,2020-06-01
ONG,ONGUSDT,Cryptocurrency,Digital Asset,2024-09-01
HOT,HOTUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZIL,ZILUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZRX,ZRXUSDT,Cryptocurrency,Digital Asset,2024-09-01
FET,FETUSDT,Cryptocurrency,Digital Asset,2024-09-01
BAT,BATUSDT,Cryptocurrency,Digital Asset,2024-09-01
XMR,XMRUSDT,Cryptocurrency,Digital Asset,2024-02-01
ZEC,ZECUSDT,Cryptocurrency,Digital Asset,2024-09-01
IOST,IOSTUSDT,Cryptocurrency,Digital Asset,2024-09-01
CELR,CELRUSDT,Cryptocurrency,Digital Asset,2024-09-01
DASH,DASHUSDT,Cryptocurrency,Digital Asset,2024-09-01
NANO,NANOUSDT,Cryptocurrency,Digital Asset,2022-01-01
OMG,OMGUSDT,Cryptocurrency,Digital Asset,2024-06-01
THETA,THETAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ENJ,ENJUSDT,Cryptocurrency,Digital Asset,2024-09-01
MITH,MITHUSDT,Cryptocurrency,Digital Asset,2022-12-01
MATIC,MATICUSDT,Cryptocurrency,Digital Asset,2024-09-01
ATOM,ATOMUSDT,Cryptocurrency,Digital Asset,2024-09-01
TFUEL,TFUELUSDT,Cryptocurrency,Digital Asset,2024-09-01
ONE,ONEUSDT,Cryptocurrency,Digital Asset,2024-09-01
FTM,FTMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALGO,ALGOUSDT,Cryptocurrency,Digital Asset,2024-09-01
USDSB,USDSBUSDT,Cryptocurrency,Digital Asset,2019-09-01
GTO,GTOUSDT,Cryptocurrency,Digital Asset,2022-11-01
ERD,ERDUSDT,Cryptocurrency,Digital Asset,2020-08-01
DOGE,DOGEUSDT,Cryptocurrency,Digital Asset,2024-09-01
DUSK,DUSKUSDT,Cryptocurrency,Digital Asset,2024-09-01
ANKR,ANKRUSDT,Cryptocurrency,Digital Asset,2024-09-01
WIN,WINUSDT,Cryptocurrency,Digital Asset,2024-09-01
